UPC,Book Title,Author,Original Price (Books.toscrape.com),Author (from Google Books API),ISBN,Competitor Price (Booksrun.com),Booksrun Link,Original Price (Float),Competitor Price (Float),Absolute Price Difference,Percentage Price Difference,Suggested Price Action (Dynamic)
e7469e22b5bfb3e7,The Art of War,N/A,Â£33.34,,,,,33.34,,,,No Action (Price not available from one/both sources)
c99761a700ade23f,The Argonauts,N/A,Â£10.93,,,,,10.93,,,,No Action (Price not available from one/both sources)
56e4f9eab2e8e674,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,N/A,Â£27.55,,,,,27.55,,,,No Action (Price not available from one/both sources)
203b7f94b7d6115f,Suddenly in Love (Lake Haven #1),N/A,Â£55.99,,,,,55.99,,,,No Action (Price not available from one/both sources)
ca71e72655bece85,Something More Than This,N/A,Â£16.24,,,,,16.24,,,,No Action (Price not available from one/both sources)
2a70769cdc6eb8b8,Soft Apocalypse,N/A,Â£26.12,,,,,26.12,,,,No Action (Price not available from one/both sources)
1b33663ad7b95fd8,So You've Been Publicly Shamed,N/A,Â£12.23,,,,,12.23,,,,No Action (Price not available from one/both sources)
0e0dcc3339602b28,Shoe Dog: A Memoir by the Creator of NIKE,N/A,Â£23.99,,,,,23.99,,,,No Action (Price not available from one/both sources)
0c27e6c3744fc14b,"Shobu Samurai, Project Aryoku (#3)",N/A,Â£29.06,,,,,29.06,,,,No Action (Price not available from one/both sources)
ad04ad9fc179fc5d,Secrets and Lace (Fatal Hearts #1),N/A,Â£20.27,,,,,20.27,,,,No Action (Price not available from one/both sources)
1c929cfd16b71907,Scarlett Epstein Hates It Here,N/A,Â£43.55,,,,,43.55,,,,No Action (Price not available from one/both sources)
e656e280bc8edd56,Romero and Juliet: A Tragic Tale of Love and Zombies,N/A,Â£36.94,,,,,36.94,,,,No Action (Price not available from one/both sources)
b53db2271c9624f7,Redeeming Love,N/A,Â£20.47,,,,,20.47,,,,No Action (Price not available from one/both sources)
d9c643fa1fc57bdb,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,N/A,Â£41.06,,,,,41.06,,,,No Action (Price not available from one/both sources)
31001a1210623bd4,Poems That Make Grown Women Cry,N/A,Â£14.19,,,,,14.19,,,,No Action (Price not available from one/both sources)
50b8f80311b31ede,"Nightingale, Sing",N/A,Â£38.28,,,,,38.28,,,,No Action (Price not available from one/both sources)
cfeb1e1e0e695b58,Night Sky with Exit Wounds,N/A,Â£41.05,,,,,41.05,,,,No Action (Price not available from one/both sources)
a40723994f715420,Mrs. Houdini,N/A,Â£30.25,,,,,30.25,,,,No Action (Price not available from one/both sources)
caf4fe9311f1dc59,Modern Romance,N/A,Â£28.26,,,,,28.26,,,,No Action (Price not available from one/both sources)
af96613fdd793a3c,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),N/A,Â£10.76,,,,,10.76,,,,No Action (Price not available from one/both sources)
d69dd8dac66f9f84,Louisa: The Extraordinary Life of Mrs. Adams,N/A,Â£16.85,,,,,16.85,,,,No Action (Price not available from one/both sources)
4aa03792b50f0b22,Little Red,N/A,Â£13.47,,,,,13.47,,,,No Action (Price not available from one/both sources)
ba54932df84e8cea,Library of Souls (Miss Peregrineâs Peculiar Children #3),N/A,Â£48.56,,,,,48.56,,,,No Action (Price not available from one/both sources)
c1afd71fc86bf682,Large Print Heart of the Pride,N/A,Â£19.15,,,,,19.15,,,,No Action (Price not available from one/both sources)
fd8585283fc7d2d7,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,N/A,Â£57.36,,,,,57.36,,,,No Action (Price not available from one/both sources)
4ce91d31c1e57c33,Hollow City (Miss Peregrineâs Peculiar Children #2),N/A,Â£42.98,,,,,42.98,,,,No Action (Price not available from one/both sources)
d163dd6c352fbcd2,Grumbles,N/A,Â£22.16,,,,,22.16,,,,No Action (Price not available from one/both sources)
ce60436f52c5ee68,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,N/A,Â£49.43,,,,,49.43,,,,No Action (Price not available from one/both sources)
116a2fdc9a45bab0,Frostbite (Vampire Academy #2),N/A,Â£29.99,,,,,29.99,,,,No Action (Price not available from one/both sources)
8585760646e3aa2a,Follow You Home,N/A,Â£21.36,,,,,21.36,,,,No Action (Price not available from one/both sources)
2f88b08bf0a0e367,First Steps for New Christians (Print Edition),N/A,Â£29.00,,,,,29.0,,,,No Action (Price not available from one/both sources)
edb3097e71330040,Finders Keepers (Bill Hodges Trilogy #2),N/A,Â£53.53,,,,,53.53,,,,No Action (Price not available from one/both sources)
65d034adf80834b7,"Fables, Vol. 1: Legends in Exile (Fables #1)",N/A,Â£41.62,,,,,41.62,,,,No Action (Price not available from one/both sources)
29c0025455f8c585,Eureka Trivia 6.0,N/A,Â£54.59,,,,,54.59,,,,No Action (Price not available from one/both sources)
6ffb36aaeff1c81e,Drive: The Surprising Truth About What Motivates Us,N/A,Â£34.95,,,,,34.95,,,,No Action (Price not available from one/both sources)
f6d967cdadc6fbd9,Done Rubbed Out (Reightman & Bailey #1),N/A,Â£37.72,,,,,37.72,,,,No Action (Price not available from one/both sources)
3a11bb962ff45b78,Doing It Over (Most Likely To #1),N/A,Â£35.61,,,,,35.61,,,,No Action (Price not available from one/both sources)
46c1530d7546ea6d,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",N/A,Â£42.16,,,,,42.16,,,,No Action (Price not available from one/both sources)
88c21fcd38e2486e,Dark Notes,N/A,Â£19.19,,,,,19.19,,,,No Action (Price not available from one/both sources)
3b9a3b4624b7fd6d,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",N/A,Â£19.43,,,,,19.43,,,,No Action (Price not available from one/both sources)
a57b1dcbd6849222,Close to You,N/A,Â£49.46,,,,,49.46,,,,No Action (Price not available from one/both sources)
513271dadc1322ae,Chasing Heaven: What Dying Taught Me About Living,N/A,Â£37.80,,,,,37.8,,,,No Action (Price not available from one/both sources)
1f329c2e7d7de8bd,Big Magic: Creative Living Beyond Fear,N/A,Â£30.80,,,,,30.8,,,,No Action (Price not available from one/both sources)
919e7cb2269a25d2,Becoming Wise: An Inquiry into the Mystery and Art of Living,N/A,Â£27.43,,,,,27.43,,,,No Action (Price not available from one/both sources)
3f69e667a67e54d9,Beauty Restored (Riley Family Legacy Novellas #3),N/A,Â£11.11,,,,,11.11,,,,No Action (Price not available from one/both sources)
7edc0527cf782e19,Batman: The Long Halloween (Batman),N/A,Â£36.50,,,,,36.5,,,,No Action (Price not available from one/both sources)
47271d8e08b5d31c,Batman: The Dark Knight Returns (Batman),N/A,Â£15.38,,,,,15.38,,,,No Action (Price not available from one/both sources)
05f7c6d9a4e582d3,Ayumi's Violin,N/A,Â£15.48,,,,,15.48,,,,No Action (Price not available from one/both sources)
d24b829be2ca81c4,Anonymous,N/A,Â£46.82,,,,,46.82,,,,No Action (Price not available from one/both sources)
7ebfa6c1bee69e1e,Amy Meets the Saints and Sages,N/A,Â£18.46,,,,,18.46,,,,No Action (Price not available from one/both sources)
bb8245f52c7cce8f,Amid the Chaos,N/A,Â£36.58,,,,,36.58,,,,No Action (Price not available from one/both sources)
ffd54178acc9a6a5,Amatus,N/A,Â£50.54,,,,,50.54,,,,No Action (Price not available from one/both sources)
d195e7f4ed697350,Agnostic: A Spirited Manifesto,N/A,Â£12.51,,,,,12.51,,,,No Action (Price not available from one/both sources)
dd5bfa6cc2c0ecc3,Zealot: The Life and Times of Jesus of Nazareth,N/A,Â£24.70,,,,,24.7,,,,No Action (Price not available from one/both sources)
024387ca4cafd5cc,You (You #1),N/A,Â£43.61,,,,,43.61,,,,No Action (Price not available from one/both sources)
047097293bb4d1c0,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",N/A,Â£37.34,,,,,37.34,,,,No Action (Price not available from one/both sources)
3fb15ace50d6142b,Wild Swans,N/A,Â£14.36,,,,,14.36,,,,No Action (Price not available from one/both sources)
2b5054a4192e9b06,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,N/A,Â£52.65,,,,,52.65,,,,No Action (Price not available from one/both sources)
44a10f1ac8ce822e,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,N/A,Â£38.20,,,,,38.2,,,,No Action (Price not available from one/both sources)
6fd646a334e6e133,What's It Like in Space?: Stories from Astronauts Who've Been There,N/A,Â£19.60,,,,,19.6,,,,No Action (Price not available from one/both sources)
92275cedf6d8ee15,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",N/A,Â£53.90,,,,,53.9,,,,No Action (Price not available from one/both sources)
6a31307a81e8f3a8,Walt Disney's Alice in Wonderland,N/A,Â£12.96,,,,,12.96,,,,No Action (Price not available from one/both sources)
4a1debca3135ff37,V for Vendetta (V for Vendetta Complete),N/A,Â£37.10,,,,,37.1,,,,No Action (Price not available from one/both sources)
aba2db9afb1469c7,Until Friday Night (The Field Party #1),N/A,Â£46.31,,,,,46.31,,,,No Action (Price not available from one/both sources)
76c84daa539426e2,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",N/A,Â£45.95,,,,,45.95,,,,No Action (Price not available from one/both sources)
1d6443ffba9dfd80,Twenty Yawns,N/A,Â£22.08,,,,,22.08,,,,No Action (Price not available from one/both sources)
6e44bcbeac7f4360,Through the Woods,N/A,Â£25.38,,,,,25.38,,,,No Action (Price not available from one/both sources)
f0f38174a7e689a3,This Is Where It Ends,N/A,Â£27.12,,,,,27.12,,,,No Action (Price not available from one/both sources)
34c0d7c4ee5650af,The Year of Magical Thinking,N/A,Â£43.04,,,,,43.04,,,,No Action (Price not available from one/both sources)
08b2f71d93836313,The Wright Brothers,N/A,Â£56.80,,,,,56.8,,,,No Action (Price not available from one/both sources)
6875c5657661b2fb,The White Queen (The Cousins' War #1),N/A,Â£25.91,,,,,25.91,,,,No Action (Price not available from one/both sources)
c5cb9f885d8b3621,The Wedding Pact (The O'Malleys #2),N/A,Â£32.61,,,,,32.61,,,,No Action (Price not available from one/both sources)
e9906e2f0d189745,The Time Keeper,N/A,Â£27.88,,,,,27.88,,,,No Action (Price not available from one/both sources)
081305e6df719dff,The Testament of Mary,N/A,Â£52.67,,,,,52.67,,,,No Action (Price not available from one/both sources)
1528279aec1f3dce,The Star-Touched Queen,N/A,Â£46.02,,,,,46.02,,,,No Action (Price not available from one/both sources)
00c4543ec6bd25b4,The Songs of the Gods,N/A,Â£44.48,,,,,44.48,,,,No Action (Price not available from one/both sources)
e88fb1c9397cfb27,The Song of Achilles,N/A,Â£37.40,,,,,37.4,,,,No Action (Price not available from one/both sources)
012094e90a4b908d,The Rosie Project (Don Tillman #1),N/A,Â£54.04,,,,,54.04,,,,No Action (Price not available from one/both sources)
6bdd909329435e80,The Power of Habit: Why We Do What We Do in Life and Business,N/A,Â£16.88,,,,,16.88,,,,No Action (Price not available from one/both sources)
52cf2a5933ec5d8f,The Marriage of Opposites,N/A,Â£28.08,,,,,28.08,,,,No Action (Price not available from one/both sources)
4e812d32d64e2431,The Lucifer Effect: Understanding How Good People Turn Evil,N/A,Â£10.40,,,,,10.4,,,,No Action (Price not available from one/both sources)
f21effc079a2b38a,The Long Haul (Diary of a Wimpy Kid #9),N/A,Â£44.07,,,,,44.07,,,,No Action (Price not available from one/both sources)
2d88a31f325dfd3b,The Loney,N/A,Â£23.40,,,,,23.4,,,,No Action (Price not available from one/both sources)
4881cc53f6c8892f,The Literature Book (Big Ideas Simply Explained),N/A,Â£17.43,,,,,17.43,,,,No Action (Price not available from one/both sources)
3bc89353f7e3a3cc,The Last Mile (Amos Decker #2),N/A,Â£54.21,,,,,54.21,,,,No Action (Price not available from one/both sources)
f72f61ad6a5f12ed,The Immortal Life of Henrietta Lacks,N/A,Â£40.67,,,,,40.67,,,,No Action (Price not available from one/both sources)
992974ba6a0536ea,The Hidden Oracle (The Trials of Apollo #1),N/A,Â£52.26,,,,,52.26,,,,No Action (Price not available from one/both sources)
ddc8340dabc8641b,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,N/A,Â£28.77,,,,,28.77,,,,No Action (Price not available from one/both sources)
847935fc68707426,The Guilty (Will Robie #4),N/A,Â£13.82,,,,,13.82,,,,No Action (Price not available from one/both sources)
a86972014275e072,The First Hostage (J.B. Collins #2),N/A,Â£25.85,,,,,25.85,,,,No Action (Price not available from one/both sources)
3d76bc83c6b644c9,The Dovekeepers,N/A,Â£48.78,,,,,48.78,,,,No Action (Price not available from one/both sources)
6edacfd1f8ebb9eb,The Darkest Lie,N/A,Â£35.35,,,,,35.35,,,,No Action (Price not available from one/both sources)
dc6f688b82e42a5b,The Bane Chronicles (The Bane Chronicles #1-11),N/A,Â£44.73,,,,,44.73,,,,No Action (Price not available from one/both sources)
923831a05c9f91f7,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,N/A,Â£15.77,,,,,15.77,,,,No Action (Price not available from one/both sources)
1b8187fa4bf6ab05,The 14th Colony (Cotton Malone #11),N/A,Â£39.24,,,,,39.24,,,,No Action (Price not available from one/both sources)
0c7b9cf2b7662b65,That Darkness (Gardiner and Renner #1),N/A,Â£13.92,,,,,13.92,,,,No Action (Price not available from one/both sources)
2d1e337aaf341858,Tastes Like Fear (DI Marnie Rome #3),N/A,Â£10.69,,,,,10.69,,,,No Action (Price not available from one/both sources)
2c04320e110a14a3,Take Me with You,N/A,Â£45.21,,,,,45.21,,,,No Action (Price not available from one/both sources)
4c8b7540409da4ac,Swell: A Year of Waves,N/A,Â£45.58,,,,,45.58,,,,No Action (Price not available from one/both sources)
ac8e3949d284e9a9,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),N/A,Â£11.89,,,,,11.89,,,,No Action (Price not available from one/both sources)
fe44cc816576c652,Still Life with Bread Crumbs,N/A,Â£26.41,,,,,26.41,,,,No Action (Price not available from one/both sources)
95019eac1c0a052f,Steve Jobs,N/A,Â£39.50,,,,,39.5,,,,No Action (Price not available from one/both sources)
3edcccc4f341fb1a,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,N/A,Â£44.74,,,,,44.74,,,,No Action (Price not available from one/both sources)
a278db6b2b09cf9f,Someone Like You (The Harrisons #2),N/A,Â£52.79,,,,,52.79,,,,No Action (Price not available from one/both sources)
394f6d30cafc3edb,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",N/A,Â£35.43,,,,,35.43,,,,No Action (Price not available from one/both sources)
830fb3967c74866d,Shtum,N/A,Â£55.84,,,,,55.84,,,,No Action (Price not available from one/both sources)
f9705c362f070608,See America: A Celebration of Our National Parks & Treasured Sites,N/A,Â£48.87,,,,,48.87,,,,No Action (Price not available from one/both sources)
86cbddb61ea78bb7,salt.,N/A,Â£46.78,,,,,46.78,,,,No Action (Price not available from one/both sources)
85b2176b3b194030,Robin War,N/A,Â£47.82,,,,,47.82,,,,No Action (Price not available from one/both sources)
31e2e2d9cca3778f,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",N/A,Â£25.48,,,,,25.48,,,,No Action (Price not available from one/both sources)
a6454e329f872b78,Rain Fish,N/A,Â£23.57,,,,,23.57,,,,No Action (Price not available from one/both sources)
aa35446aab16017f,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",N/A,Â£50.89,,,,,50.89,,,,No Action (Price not available from one/both sources)
af58a74e4b2a23a0,Pet Sematary,N/A,Â£10.56,,,,,10.56,,,,No Action (Price not available from one/both sources)
8ecf0356a3878811,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",N/A,Â£52.15,,,,,52.15,,,,No Action (Price not available from one/both sources)
e34efcc824685332,Once Was a Time,N/A,Â£18.28,,,,,18.28,,,,No Action (Price not available from one/both sources)
02b74068fa98d8a4,Old School (Diary of a Wimpy Kid #10),N/A,Â£11.83,,,,,11.83,,,,No Action (Price not available from one/both sources)
132ec5e8c984adef,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,N/A,Â£21.95,,,,,21.95,,,,No Action (Price not available from one/both sources)
71e36f33981ddb74,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",N/A,Â£38.39,,,,,38.39,,,,No Action (Price not available from one/both sources)
727bf2b86b19ad88,My Name Is Lucy Barton,N/A,Â£41.56,,,,,41.56,,,,No Action (Price not available from one/both sources)
cc82685d9f49bc2c,My Mrs. Brown,N/A,Â£24.48,,,,,24.48,,,,No Action (Price not available from one/both sources)
137b0b2775701e11,My Kind of Crazy,N/A,Â£40.36,,,,,40.36,,,,No Action (Price not available from one/both sources)
caa2e5b3fb1b2d4c,Mr. Mercedes (Bill Hodges Trilogy #1),N/A,Â£28.90,,,,,28.9,,,,No Action (Price not available from one/both sources)
47d47155e89c8be7,More Than Music (Chasing the Dream #1),N/A,Â£37.61,,,,,37.61,,,,No Action (Price not available from one/both sources)
b96fc7a0ea7d4b45,Made to Stick: Why Some Ideas Survive and Others Die,N/A,Â£38.85,,,,,38.85,,,,No Action (Price not available from one/both sources)
5b43cae640f2338a,Luis Paints the World,N/A,Â£53.95,,,,,53.95,,,,No Action (Price not available from one/both sources)
d512871626a5e588,Luckiest Girl Alive,N/A,Â£49.83,,,,,49.83,,,,No Action (Price not available from one/both sources)
a10c7515834240f3,Lowriders to the Center of the Earth (Lowriders in Space #2),N/A,Â£51.51,,,,,51.51,,,,No Action (Price not available from one/both sources)
adb5f51c2e2ab13f,Love Is a Mix Tape (Music #1),N/A,Â£18.03,,,,,18.03,,,,No Action (Price not available from one/both sources)
24af96df0bafb925,Looking for Lovely: Collecting the Moments that Matter,N/A,Â£29.14,,,,,29.14,,,,No Action (Price not available from one/both sources)
17fb5a88180f9904,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",N/A,Â£46.91,,,,,46.91,,,,No Action (Price not available from one/both sources)
1174156c4a0eccaa,Let It Out: A Journey Through Journaling,N/A,Â£26.79,,,,,26.79,,,,No Action (Price not available from one/both sources)
708345c9897fd7c5,Lady Midnight (The Dark Artifices #1),N/A,Â£16.28,,,,,16.28,,,,No Action (Price not available from one/both sources)
245e6bf08b8d2955,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",N/A,Â£19.55,,,,,19.55,,,,No Action (Price not available from one/both sources)
2b52334fab158861,Island of Dragons (Unwanteds #7),N/A,Â£29.65,,,,,29.65,,,,No Action (Price not available from one/both sources)
b8a8ff84233f0570,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,N/A,Â£25.98,,,,,25.98,,,,No Action (Price not available from one/both sources)
aeff7b87a8e83ebb,I Am Pilgrim (Pilgrim #1),N/A,Â£10.60,,,,,10.6,,,,No Action (Price not available from one/both sources)
fbb21a2f71f4d981,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",N/A,Â£14.75,,,,,14.75,,,,No Action (Price not available from one/both sources)
6b6cd77fbc91b7a6,"Hush, Hush (Hush, Hush #1)",N/A,Â£47.02,,,,,47.02,,,,No Action (Price not available from one/both sources)
0b165bd4b9f42fd5,Hold Your Breath (Search and Rescue #1),N/A,Â£28.82,,,,,28.82,,,,No Action (Price not available from one/both sources)
afa829857f82f99e,Hamilton: The Revolution,N/A,Â£58.79,,,,,58.79,,,,No Action (Price not available from one/both sources)
f201f263d8c23f97,Greek Mythic History,N/A,Â£10.23,,,,,10.23,,,,No Action (Price not available from one/both sources)
eec424a84c9e4c68,God: The Most Unpleasant Character in All Fiction,N/A,Â£30.03,,,,,30.03,,,,No Action (Price not available from one/both sources)
de4b403cb629a29f,Glory over Everything: Beyond The Kitchen House,N/A,Â£45.84,,,,,45.84,,,,No Action (Price not available from one/both sources)
9194ae88379dbf1a,Feathers: Displays of Brilliant Plumage,N/A,Â£49.05,,,,,49.05,,,,No Action (Price not available from one/both sources)
ac4dde0d1be05de0,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",N/A,Â£15.06,,,,,15.06,,,,No Action (Price not available from one/both sources)
a2bd4ca82d908442,Every Last Word,N/A,Â£46.47,,,,,46.47,,,,No Action (Price not available from one/both sources)
9eaf58b03a2779cc,Eligible (The Austen Project #4),N/A,Â£27.09,,,,,27.09,,,,No Action (Price not available from one/both sources)
27c5968fe43cc06e,El Deafo,N/A,Â£57.62,,,,,57.62,,,,No Action (Price not available from one/both sources)
1d6dd0c87d90fe92,Eight Hundred Grapes,N/A,Â£14.39,,,,,14.39,,,,No Action (Price not available from one/both sources)
a01f6d368ef64dc5,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",N/A,Â£51.75,,,,,51.75,,,,No Action (Price not available from one/both sources)
047dfa57ba0bf638,"Eat Fat, Get Thin",N/A,Â£54.07,,,,,54.07,,,,No Action (Price not available from one/both sources)
ad2887ce04583910,Don't Get Caught,N/A,Â£55.35,,,,,55.35,,,,No Action (Price not available from one/both sources)
bf5de316a5e9a4ab,Doctor Sleep (The Shining #2),N/A,Â£40.12,,,,,40.12,,,,No Action (Price not available from one/both sources)
3c6fe637a0180b01,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),N/A,Â£37.51,,,,,37.51,,,,No Action (Price not available from one/both sources)
94a958ea126cdcd5,Dear Mr. Knightley,N/A,Â£11.21,,,,,11.21,,,,No Action (Price not available from one/both sources)
0e94a089328be4bc,Daily Fantasy Sports,N/A,Â£36.58,,,,,36.58,,,,No Action (Price not available from one/both sources)
4b9d9cfe0f435788,Crazy Love: Overwhelmed by a Relentless God,N/A,Â£47.72,,,,,47.72,,,,No Action (Price not available from one/both sources)
28cf0d1c51b491e5,Cometh the Hour (The Clifton Chronicles #6),N/A,Â£25.01,,,,,25.01,,,,No Action (Price not available from one/both sources)
33a3e0e3ffde0dcd,Code Name Verity (Code Name Verity #1),N/A,Â£22.13,,,,,22.13,,,,No Action (Price not available from one/both sources)
42b0c50fc44140ec,Clockwork Angel (The Infernal Devices #1),N/A,Â£44.14,,,,,44.14,,,,No Action (Price not available from one/both sources)
966ebb738e0f9d9b,City of Glass (The Mortal Instruments #3),N/A,Â£56.02,,,,,56.02,,,,No Action (Price not available from one/both sources)
1e264c677d4ee4ae,City of Fallen Angels (The Mortal Instruments #4),N/A,Â£11.23,,,,,11.23,,,,No Action (Price not available from one/both sources)
5b987e54ee72525c,City of Bones (The Mortal Instruments #1),N/A,Â£43.28,,,,,43.28,,,,No Action (Price not available from one/both sources)
8a6ec2761f91dad2,City of Ashes (The Mortal Instruments #2),N/A,Â£47.27,,,,,47.27,,,,No Action (Price not available from one/both sources)
bfbb54bc8cdeed2b,Cell,N/A,Â£20.29,,,,,20.29,,,,No Action (Price not available from one/both sources)
e2e7b683b4c15b7d,Catching Jordan (Hundred Oaks),N/A,Â£50.83,,,,,50.83,,,,No Action (Price not available from one/both sources)
1b0fc9f777cad045,"Carry On, Warrior: Thoughts on Life Unarmed",N/A,Â£31.85,,,,,31.85,,,,No Action (Price not available from one/both sources)
5f22418922fa728b,Carrie,N/A,Â£46.23,,,,,46.23,,,,No Action (Price not available from one/both sources)
16ef91b9d827859c,Buying In: The Secret Dialogue Between What We Buy and Who We Are,N/A,Â£37.80,,,,,37.8,,,,No Action (Price not available from one/both sources)
a80f66b254fe9eb3,Brain on Fire: My Month of Madness,N/A,Â£49.32,,,,,49.32,,,,No Action (Price not available from one/both sources)
bf68dcb5fad3cc8c,Batman: Europa,N/A,Â£32.01,,,,,32.01,,,,No Action (Price not available from one/both sources)
999912e63a3262ae,Barefoot Contessa Back to Basics,N/A,Â£28.01,,,,,28.01,,,,No Action (Price not available from one/both sources)
0e0da9192a025efc,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,N/A,Â£50.62,,,,,50.62,,,,No Action (Price not available from one/both sources)
9b65f676984c9f0c,Balloon Animals,N/A,Â£17.03,,,,,17.03,,,,No Action (Price not available from one/both sources)
ffdc825785c0ede8,Art Ops Vol. 1,N/A,Â£48.80,,,,,48.8,,,,No Action (Price not available from one/both sources)
41164b8ac02a2c42,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),N/A,Â£58.14,,,,,58.14,,,,No Action (Price not available from one/both sources)
1fbb5f786e53a0ce,Angels Walking (Angels Walking #1),N/A,Â£34.20,,,,,34.2,,,,No Action (Price not available from one/both sources)
ad41c24ccac0c7ce,Angels & Demons (Robert Langdon #1),N/A,Â£51.48,,,,,51.48,,,,No Action (Price not available from one/both sources)
39861fc1c0845d15,All the Light We Cannot See,N/A,Â£29.87,,,,,29.87,,,,No Action (Price not available from one/both sources)
5319169a72714c62,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",N/A,Â£10.90,,,,,10.9,,,,No Action (Price not available from one/both sources)
cf1aa2fc02a7d1e0,Abstract City,N/A,Â£56.37,,,,,56.37,,,,No Action (Price not available from one/both sources)
4416c474713ec1f5,A Time of Torment (Charlie Parker #14),N/A,Â£48.35,,,,,48.35,,,,No Action (Price not available from one/both sources)
63ee5bc46066a8a8,A Study in Scarlet (Sherlock Holmes #1),N/A,Â£16.73,,,,,16.73,,,,No Action (Price not available from one/both sources)
c1379d3744f1dd2c,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",N/A,Â£56.48,,,,,56.48,,,,No Action (Price not available from one/both sources)
1ad06aed9349af46,A People's History of the United States,N/A,Â£40.79,,,,,40.79,,,,No Action (Price not available from one/both sources)
8682c03de6a844ff,A Man Called Ove,N/A,Â£39.72,,,,,39.72,,,,No Action (Price not available from one/both sources)
d5e0526e1ab682a3,A Distant Mirror: The Calamitous 14th Century,N/A,Â£14.58,,,,,14.58,,,,No Action (Price not available from one/both sources)
01a177623cce9596,A Brush of Wings (Angels Walking #3),N/A,Â£55.51,,,,,55.51,,,,No Action (Price not available from one/both sources)
6e8e5626ac4d279e,1491: New Revelations of the Americas Before Columbus,N/A,Â£21.80,,,,,21.8,,,,No Action (Price not available from one/both sources)
ac5e0d3938caf686,"The Three Searches, Meaning, and the Story",N/A,Â£13.33,,,,,13.33,,,,No Action (Price not available from one/both sources)
2f0213137a80d485,Searching for Meaning in Gailana,N/A,Â£38.73,,,,,38.73,,,,No Action (Price not available from one/both sources)
44d97b6707dae3f0,Rook,N/A,Â£37.86,,,,,37.86,,,,No Action (Price not available from one/both sources)
8bbd7df8a324f31d,My Kitchen Year: 136 Recipes That Saved My Life,N/A,Â£11.53,,,,,11.53,,,,No Action (Price not available from one/both sources)
4be9d1910f8a4e80,13 Hours: The Inside Account of What Really Happened In Benghazi,N/A,Â£27.06,,,,,27.06,,,,No Action (Price not available from one/both sources)
077b635ff2afc578,Will You Won't You Want Me?,N/A,Â£13.86,,,,,13.86,,,,No Action (Price not available from one/both sources)
148715df5a02ea5e,Tipping Point for Planet Earth: How Close Are We to the Edge?,N/A,Â£37.55,,,,,37.55,,,,No Action (Price not available from one/both sources)
4a7a25be293ad678,The Star-Touched Queen,N/A,Â£32.30,,,,,32.3,,,,No Action (Price not available from one/both sources)
ce1ae197ada2aec4,The Silent Sister (Riley MacPherson #1),N/A,Â£46.29,,,,,46.29,,,,No Action (Price not available from one/both sources)
14e44163678e24dc,The Midnight Watch: A Novel of the Titanic and the Californian,N/A,Â£26.20,,,,,26.2,,,,No Action (Price not available from one/both sources)
582a21a1dbbef3cf,The Lonely City: Adventures in the Art of Being Alone,N/A,Â£33.26,,,,,33.26,,,,No Action (Price not available from one/both sources)
